Reg_ID,State,District,Vehicle_Type,Manufacturer,Model,Price,Battery_Capacity,Range_KM,Registration_Date
2120,Maharashtra,District-34,2W,Ather,Model-19,93208,53,374,2024-12-27
2121,Maharashtra,District-37,2W,TVS,Model-1,123904,22,545,2025-03-06
2122,Tamil Nadu,District-15,2W,Ola Electric,Model-6,141577,13,253,2024-08-27
2123,Haryana,District-14,2W,TVS,Model-7,144013,48,309,2023-09-22
2124,Delhi,District-27,2W,Bajaj,Model-4,130664,53,471,2024-03-13
2125,Karnataka,District-31,2W,Ola Electric,Model-18,99215,9,562,2025-07-10
2126,Maharashtra,District-35,3W,Piaggio,Model-18,286027,48,489,2024-03-09
2127,Karnataka,District-24,2W,TVS,Model-6,113496,13,135,2025-06-20
2128,Delhi,District-7,2W,Ather,Model-10,146188,9,135,2023-07-30
2129,Delhi,District-33,3W,Piaggio,Model-11,232275,57,189,2025-03-24
2130,Kerala,District-21,2W,Ola Electric,Model-4,92054,15,180,2024-09-08
2131,Delhi,District-18,4W,MG,Model-4,1122849,53,55,2024-03-21
2132,Maharashtra,District-4,Bus,Ashok Leyland,Model-6,5089538,55,528,2024-07-18
2133,Maharashtra,District-2,2W,Ola Electric,Model-14,151563,28,595,2023-06-20
2134,Tamil Nadu,District-22,3W,Kinetic,Model-16,337868,21,282,2025-07-31
2135,Maharashtra,District-16,4W,Mahindra,Model-12,1588733,37,214,2025-03-15
2136,Gujarat,District-46,2W,TVS,Model-17,143543,31,474,2023-02-01
2137,Delhi,District-23,4W,MG,Model-12,1129679,49,74,2023-02-07
2138,Karnataka,District-46,2W,Bajaj,Model-17,108427,49,398,2024-08-09
2139,Delhi,District-8,2W,TVS,Model-3,95564,50,367,2024-12-22
2140,Tamil Nadu,District-3,2W,Ola Electric,Model-17,134417,3,311,2023-10-15
2141,Delhi,District-50,2W,TVS,Model-6,104759,35,253,2025-02-19
2142,Delhi,District-5,2W,Bajaj,Model-19,132726,43,557,2023-08-15
2143,Tamil Nadu,District-19,2W,Bajaj,Model-7,176377,48,142,2023-03-08
2144,Karnataka,District-39,4W,MG,Model-13,1323631,7,47,2023-03-18
2145,Gujarat,District-45,4W,MG,Model-20,1002102,47,223,2025-06-06
2146,Maharashtra,District-36,4W,MG,Model-7,1998171,53,487,2023-10-13
2147,Gujarat,District-24,Cargo,Euler,Model-6,468961,15,588,2025-06-17
2148,Kerala,District-17,3W,Piaggio,Model-16,246550,44,288,2025-03-04
2149,Gujarat,District-2,2W,Bajaj,Model-10,173820,24,525,2025-06-06
2150,Uttar Pradesh,District-45,2W,Bajaj,Model-14,93096,26,133,2024-06-29
2151,Karnataka,District-47,3W,Kinetic,Model-9,318402,17,329,2025-01-17
2152,Karnataka,District-18,4W,Mahindra,Model-13,1156539,11,115,2024-06-26
2153,Uttar Pradesh,District-21,2W,Ather,Model-11,129311,2,121,2025-03-23
2154,Rajasthan,District-35,2W,Bajaj,Model-7,119942,30,511,2025-09-07
2155,Uttar Pradesh,District-49,2W,Bajaj,Model-8,137185,21,402,2025-02-12
2156,Delhi,District-40,Cargo,Euler,Model-19,272533,34,555,2023-06-16
2157,Kerala,District-25,2W,Ather,Model-20,100437,44,78,2023-02-20
2158,Karnataka,District-31,2W,Ather,Model-14,140012,19,563,2024-11-27
2159,Karnataka,District-28,2W,TVS,Model-6,132902,53,429,2024-03-06
2160,Maharashtra,District-33,3W,Kinetic,Model-17,253528,8,366,2023-02-09
2161,Haryana,District-36,2W,TVS,Model-14,152106,6,365,2025-01-31
2162,Tamil Nadu,District-50,3W,Mahindra,Model-3,298679,55,130,2025-04-17
2163,Rajasthan,District-39,2W,Ather,Model-14,127690,23,554,2025-12-27
2164,Uttar Pradesh,District-43,3W,Mahindra,Model-14,333619,29,54,2025-03-18
2165,Karnataka,District-10,3W,Piaggio,Model-12,205916,35,106,2023-03-31
2166,Gujarat,District-10,2W,TVS,Model-15,97270,22,105,2024-02-20
2167,Maharashtra,District-25,3W,Piaggio,Model-4,264078,26,325,2025-01-04
2168,Karnataka,District-47,Bus,Tata Motors,Model-19,7900661,18,550,2025-03-14
2169,Rajasthan,District-45,Bus,Tata Motors,Model-7,3329127,8,544,2025-07-24
2170,Karnataka,District-42,2W,Bajaj,Model-4,174203,18,383,2024-10-12
2171,Karnataka,District-41,2W,Ola Electric,Model-13,113440,3,100,2024-01-13
2172,Maharashtra,District-4,3W,Kinetic,Model-15,212597,46,394,2025-11-02
2173,Telangana,District-14,4W,Tata,Model-1,1174549,20,332,2023-06-16
2174,Maharashtra,District-25,2W,Ather,Model-11,123632,35,256,2024-09-15
2175,Gujarat,District-1,Bus,Tata Motors,Model-12,8318598,2,560,2024-02-14
2176,Maharashtra,District-48,2W,Bajaj,Model-20,160017,38,584,2024-02-25
2177,Tamil Nadu,District-41,3W,Piaggio,Model-5,287521,16,336,2023-04-23
2178,Delhi,District-44,4W,Hyundai,Model-6,951108,51,500,2025-01-26
2179,Haryana,District-31,2W,Ather,Model-19,141987,32,588,2025-06-29
2180,Tamil Nadu,District-10,4W,Mahindra,Model-14,955732,47,250,2023-10-14
2181,Maharashtra,District-9,2W,Ola Electric,Model-3,102301,49,491,2024-04-13
2182,Tamil Nadu,District-9,Cargo,Euler,Model-7,466431,43,475,2024-07-06
2183,Karnataka,District-18,2W,Ather,Model-12,131440,44,512,2025-03-15
2184,Karnataka,District-50,3W,Piaggio,Model-15,328061,50,131,2024-10-15
2185,Karnataka,District-9,2W,Bajaj,Model-15,99339,36,286,2023-04-07
2186,Maharashtra,District-49,2W,Bajaj,Model-1,162036,9,338,2024-02-18
2187,Haryana,District-43,2W,TVS,Model-3,99584,11,294,2024-07-29
2188,Delhi,District-32,3W,Piaggio,Model-16,221808,20,230,2025-04-24
2189,Kerala,District-30,2W,Ather,Model-19,159320,28,475,2023-09-03
2190,Haryana,District-14,3W,Mahindra,Model-18,256610,56,400,2024-04-06
2191,Delhi,District-26,3W,Piaggio,Model-17,318144,18,211,2023-04-10
2192,Kerala,District-28,4W,MG,Model-20,1119462,13,76,2025-09-23
2193,Karnataka,District-3,Cargo,Euler,Model-16,270502,57,383,2025-07-10
2194,Tamil Nadu,District-29,4W,MG,Model-12,1716443,56,376,2023-11-16
2195,Karnataka,District-21,2W,TVS,Model-12,117523,41,421,2024-07-07
2196,Maharashtra,District-7,2W,Bajaj,Model-5,179272,23,301,2023-09-11
2197,Maharashtra,District-26,2W,TVS,Model-13,121573,54,580,2023-03-09
2198,Gujarat,District-33,4W,Hyundai,Model-20,1406384,6,457,2025-06-22
2199,Tamil Nadu,District-35,2W,Ola Electric,Model-12,129986,3,41,2023-09-19
2200,Maharashtra,District-36,4W,Hyundai,Model-2,1971739,2,594,2025-04-04
2201,Delhi,District-41,2W,Bajaj,Model-17,96295,29,169,2025-12-12
2202,Delhi,District-32,2W,Ather,Model-11,127227,57,237,2023-10-16
2203,Kerala,District-50,3W,Mahindra,Model-10,314073,18,181,2023-12-29
2204,Maharashtra,District-29,2W,Ather,Model-13,96624,40,559,2023-01-05
2205,Maharashtra,District-12,3W,Mahindra,Model-18,248805,35,518,2023-03-03
2206,Delhi,District-44,2W,Ola Electric,Model-19,97400,39,354,2023-07-10
2207,Delhi,District-9,3W,Kinetic,Model-11,310268,2,397,2024-04-11
2208,Gujarat,District-40,2W,Ola Electric,Model-7,170946,5,391,2024-02-04
2209,Karnataka,District-15,2W,Ola Electric,Model-7,164174,2,120,2023-08-12
2210,Kerala,District-38,2W,Bajaj,Model-12,104661,18,220,2023-09-13
2211,Maharashtra,District-7,4W,MG,Model-7,1603787,40,443,2023-03-03
2212,Maharashtra,District-44,4W,MG,Model-7,1032122,39,258,2025-03-24
2213,Delhi,District-24,4W,Mahindra,Model-1,1234432,27,135,2025-02-08
2214,Maharashtra,District-13,2W,Bajaj,Model-13,93171,30,353,2025-01-05
2215,Maharashtra,District-50,2W,Ather,Model-19,166825,12,315,2024-06-04
2216,Karnataka,District-26,4W,MG,Model-4,1079039,53,545,2024-01-15
2217,Gujarat,District-28,3W,Mahindra,Model-15,293115,55,40,2025-03-19
2218,Delhi,District-18,4W,MG,Model-1,1700471,2,456,2023-01-02
2219,Delhi,District-42,Bus,Ashok Leyland,Model-9,3648665,8,140,2023-03-03
2220,Maharashtra,District-12,3W,Mahindra,Model-3,243266,25,324,2023-06-02
2221,Maharashtra,District-27,2W,TVS,Model-3,163870,60,97,2024-02-13
2222,Tamil Nadu,District-35,2W,Ola Electric,Model-3,96830,27,183,2024-05-15
2223,Kerala,District-14,2W,Ola Electric,Model-13,96898,8,249,2024-05-12
2224,Gujarat,District-15,3W,Kinetic,Model-3,337954,31,262,2023-02-26
2225,Delhi,District-9,2W,Ather,Model-4,170631,36,425,2023-06-12
2226,Delhi,District-29,3W,Kinetic,Model-19,322210,38,153,2024-02-12
2227,Karnataka,District-2,2W,Bajaj,Model-2,119868,32,495,2024-11-15
2228,Maharashtra,District-8,2W,TVS,Model-20,154928,38,156,2023-10-21
2229,Delhi,District-25,2W,Ather,Model-14,103481,53,502,2025-06-20
2230,Karnataka,District-39,2W,Bajaj,Model-18,150367,55,170,2025-08-08
2231,Maharashtra,District-21,2W,Ather,Model-13,90758,42,356,2024-10-31
2232,Tamil Nadu,District-32,2W,Ather,Model-18,147946,20,204,2023-03-05
2233,Maharashtra,District-49,2W,Bajaj,Model-10,147877,43,104,2024-02-03
2234,Maharashtra,District-16,2W,Ola Electric,Model-10,100946,44,70,2024-11-20
2235,Uttar Pradesh,District-5,3W,Piaggio,Model-11,250338,8,204,2023-12-25
2236,Karnataka,District-14,2W,Bajaj,Model-15,123533,28,123,2023-10-28
2237,Maharashtra,District-12,2W,Bajaj,Model-9,174228,6,370,2023-01-23
2238,Gujarat,District-13,2W,TVS,Model-5,119858,36,293,2023-04-15
2239,Karnataka,District-37,2W,TVS,Model-19,131609,14,112,2024-10-09
2240,Karnataka,District-38,4W,Mahindra,Model-15,1586383,54,54,2025-02-20
2241,Karnataka,District-30,4W,Tata,Model-7,1481968,7,261,2024-12-27
2242,Maharashtra,District-44,2W,Ola Electric,Model-11,170132,48,319,2023-09-10
2243,Maharashtra,District-16,2W,Ola Electric,Model-1,98579,31,182,2023-10-26
2244,Maharashtra,District-40,2W,TVS,Model-12,162083,42,311,2024-07-11
2245,Kerala,District-4,2W,Bajaj,Model-2,147311,46,492,2023-02-21
2246,Gujarat,District-34,2W,Ather,Model-15,169977,42,351,2024-01-30
2247,Maharashtra,District-12,4W,Mahindra,Model-6,1402060,48,113,2024-01-30
2248,Kerala,District-22,3W,Mahindra,Model-19,321839,54,230,2024-03-03
2249,Delhi,District-19,3W,Kinetic,Model-4,243440,18,367,2024-12-07
2250,Maharashtra,District-42,2W,Ola Electric,Model-9,129894,60,543,2023-09-27
2251,Gujarat,District-18,2W,Ather,Model-11,108043,15,164,2024-08-18
2252,Tamil Nadu,District-42,2W,TVS,Model-10,148216,51,328,2024-02-16
2253,Delhi,District-38,4W,Mahindra,Model-6,1131176,58,443,2024-07-29
2254,Delhi,District-33,Cargo,Euler,Model-11,281660,2,118,2025-09-09
2255,Tamil Nadu,District-48,Cargo,Tata Ace EV,Model-16,314428,44,271,2024-09-20
2256,Delhi,District-38,3W,Kinetic,Model-17,319512,9,389,2024-01-28
2257,Haryana,District-37,Bus,Ashok Leyland,Model-10,3311693,59,274,2025-05-23
2258,Delhi,District-34,2W,Ola Electric,Model-3,170436,2,440,2024-03-14
2259,Delhi,District-16,2W,Ather,Model-3,166850,57,235,2025-04-10
2260,Delhi,District-11,4W,Hyundai,Model-11,938051,42,311,2023-11-07
2261,Delhi,District-28,Cargo,Tata Ace EV,Model-1,379154,50,212,2025-10-15
2262,Maharashtra,District-19,2W,Ola Electric,Model-3,167685,40,543,2023-03-07
2263,Karnataka,District-7,2W,Ola Electric,Model-13,123052,39,314,2025-12-30
2264,Karnataka,District-4,2W,Bajaj,Model-6,140818,39,349,2024-09-16
2265,Maharashtra,District-30,2W,Ather,Model-4,170391,55,220,2023-01-12
2266,Maharashtra,District-32,2W,TVS,Model-20,100414,27,220,2023-05-12
2267,Delhi,District-10,2W,Ather,Model-11,107265,37,271,2025-12-06
2268,Karnataka,District-35,3W,Mahindra,Model-1,265237,24,351,2025-01-22
2269,Karnataka,District-50,2W,TVS,Model-11,127894,20,345,2024-09-02
2270,Gujarat,District-26,2W,TVS,Model-16,104363,49,383,2023-02-20
2271,Delhi,District-43,2W,Ola Electric,Model-15,144742,51,514,2024-02-08
2272,Rajasthan,District-28,2W,Ola Electric,Model-5,157587,56,497,2023-10-02
2273,Karnataka,District-43,4W,Tata,Model-20,1299133,13,364,2023-08-14
2274,Haryana,District-12,2W,Ather,Model-17,142176,17,123,2023-10-06
2275,Delhi,District-16,4W,Hyundai,Model-11,1915322,16,557,2024-01-09
2276,Rajasthan,District-20,2W,Ather,Model-12,131544,10,427,2024-08-11
2277,Maharashtra,District-6,3W,Kinetic,Model-20,294522,46,514,2024-06-18
2278,Haryana,District-9,2W,TVS,Model-2,97729,30,245,2024-10-19
2279,Karnataka,District-46,2W,Ola Electric,Model-17,95677,18,67,2025-11-20
2280,Kerala,District-40,3W,Piaggio,Model-15,289479,26,405,2025-12-16
2281,Delhi,District-9,2W,Bajaj,Model-18,101214,47,328,2025-01-26
2282,Maharashtra,District-3,3W,Mahindra,Model-16,234909,34,44,2024-04-11
2283,Gujarat,District-48,3W,Piaggio,Model-3,288061,39,420,2023-10-26
2284,Karnataka,District-26,3W,Kinetic,Model-19,341049,10,523,2023-01-10
2285,Tamil Nadu,District-25,3W,Kinetic,Model-15,268681,43,513,2024-04-24
2286,Karnataka,District-24,2W,Bajaj,Model-1,172958,38,391,2025-05-20
2287,Uttar Pradesh,District-47,2W,Bajaj,Model-2,140967,15,542,2024-07-25
2288,Karnataka,District-48,2W,Ather,Model-11,173999,56,245,2024-06-27
2289,Gujarat,District-13,2W,TVS,Model-3,122238,39,242,2024-10-08
2290,Maharashtra,District-30,3W,Kinetic,Model-12,253359,9,48,2025-03-19
2291,Karnataka,District-5,2W,TVS,Model-4,133010,12,236,2024-11-16
2292,Gujarat,District-22,2W,Ola Electric,Model-14,145173,41,256,2023-11-17
2293,Delhi,District-38,4W,Hyundai,Model-17,1591006,49,266,2025-11-01
2294,Karnataka,District-45,2W,Ather,Model-10,171962,49,313,2024-08-03
2295,Karnataka,District-31,3W,Piaggio,Model-7,234054,43,484,2024-07-03
2296,Kerala,District-20,2W,Ather,Model-17,162321,42,358,2024-02-07
2297,Maharashtra,District-13,2W,Bajaj,Model-18,99860,34,542,2023-05-19
2298,Delhi,District-15,4W,Hyundai,Model-14,1524212,60,71,2024-05-03
2299,Rajasthan,District-8,Bus,Ashok Leyland,Model-9,5911763,22,229,2025-09-12
2300,Maharashtra,District-24,4W,Tata,Model-4,1336168,17,355,2023-05-23
2301,Karnataka,District-18,2W,Ola Electric,Model-13,94206,18,597,2024-07-31
2302,Delhi,District-19,4W,Mahindra,Model-18,957053,9,495,2024-05-25
2303,Delhi,District-11,2W,Ola Electric,Model-8,137685,49,219,2024-02-22
2304,Telangana,District-48,3W,Piaggio,Model-19,233936,34,165,2023-09-01
2305,Karnataka,District-34,2W,Ola Electric,Model-20,113974,22,367,2025-06-26
2306,Tamil Nadu,District-30,2W,TVS,Model-9,151753,25,231,2025-01-14
2307,Maharashtra,District-29,Cargo,Tata Ace EV,Model-18,251636,58,293,2025-11-01
2308,Tamil Nadu,District-24,2W,Ather,Model-17,101265,55,334,2024-10-12
2309,Uttar Pradesh,District-1,2W,Ola Electric,Model-6,91669,45,197,2023-12-31
2310,Tamil Nadu,District-11,2W,Bajaj,Model-10,104017,55,320,2023-09-10
2311,Maharashtra,District-49,2W,Ola Electric,Model-11,127863,9,397,2023-10-20
2312,Kerala,District-12,2W,Bajaj,Model-17,163868,35,205,2025-06-23
2313,Tamil Nadu,District-5,2W,TVS,Model-10,99274,38,384,2023-05-15
2314,Karnataka,District-9,Bus,Tata Motors,Model-12,8909041,24,354,2025-08-29
2315,Maharashtra,District-13,4W,Hyundai,Model-9,850644,33,391,2024-09-21
2316,Tamil Nadu,District-5,2W,Ola Electric,Model-4,116886,7,231,2023-03-26
2317,Haryana,District-24,2W,Ather,Model-11,156895,56,392,2024-09-09
2318,Gujarat,District-34,3W,Kinetic,Model-6,267074,20,410,2024-04-13
2319,Karnataka,District-25,2W,TVS,Model-12,134319,38,78,2023-02-08
2320,Gujarat,District-19,4W,Mahindra,Model-11,1026622,59,517,2025-02-06
2321,Maharashtra,District-8,4W,Tata,Model-7,1343418,21,221,2024-09-03
2322,Karnataka,District-18,2W,Bajaj,Model-6,145448,12,490,2025-11-11
2323,Karnataka,District-38,4W,MG,Model-8,1502178,49,375,2023-05-06
2324,Karnataka,District-33,4W,Mahindra,Model-10,1343838,17,92,2023-08-07
2325,Maharashtra,District-36,4W,Hyundai,Model-1,842106,41,129,2023-10-29
2326,Maharashtra,District-10,Bus,Ashok Leyland,Model-4,7556667,11,420,2023-12-25
2327,Gujarat,District-44,2W,Bajaj,Model-4,113998,25,565,2024-08-08
2328,Maharashtra,District-24,3W,Kinetic,Model-13,267272,10,515,2024-06-01
2329,Kerala,District-17,2W,Bajaj,Model-7,145196,47,296,2024-10-14
2330,Maharashtra,District-27,2W,Ola Electric,Model-5,97358,41,419,2024-01-02
2331,Tamil Nadu,District-15,2W,Ola Electric,Model-5,93117,11,58,2024-08-10
2332,Uttar Pradesh,District-44,Cargo,Euler,Model-5,499019,28,578,2025-04-22
2333,Gujarat,District-35,2W,TVS,Model-9,132609,36,129,2025-08-18
2334,Karnataka,District-9,3W,Kinetic,Model-12,318164,12,107,2023-11-01
2335,Gujarat,District-47,2W,Bajaj,Model-1,175232,43,296,2025-09-10
2336,Maharashtra,District-39,4W,MG,Model-9,1309735,10,277,2025-02-16
2337,Kerala,District-45,2W,Bajaj,Model-1,166306,2,392,2023-02-11
2338,Delhi,District-27,2W,Ather,Model-5,94506,43,141,2025-08-08
2339,Uttar Pradesh,District-32,2W,TVS,Model-1,90848,15,188,2023-08-20
2340,Tamil Nadu,District-50,4W,Tata,Model-12,1247292,38,341,2023-08-16
2341,Maharashtra,District-47,3W,Piaggio,Model-6,237024,13,458,2024-05-05
2342,Uttar Pradesh,District-16,2W,Ather,Model-18,137244,34,323,2025-12-18
2343,Kerala,District-48,2W,TVS,Model-3,105142,27,328,2024-12-22
2344,Rajasthan,District-38,Bus,Ashok Leyland,Model-5,7753755,52,275,2023-11-26
2345,Delhi,District-47,2W,Bajaj,Model-7,141507,26,432,2024-02-25
2346,Gujarat,District-28,2W,Ather,Model-6,125967,55,490,2024-12-14
2347,Karnataka,District-7,2W,TVS,Model-4,95018,43,243,2023-12-11
2348,Uttar Pradesh,District-39,2W,Bajaj,Model-1,91081,30,370,2025-01-08
2349,Delhi,District-45,3W,Kinetic,Model-5,251658,47,347,2025-05-05
2350,Telangana,District-2,Bus,Tata Motors,Model-4,4592414,32,302,2025-07-06
2351,Karnataka,District-2,2W,TVS,Model-19,140491,48,380,2025-11-15
2352,Maharashtra,District-21,2W,TVS,Model-5,126408,50,134,2023-02-21
2353,Karnataka,District-2,2W,Ather,Model-6,111148,38,492,2025-08-12
2354,Gujarat,District-1,2W,Ola Electric,Model-15,133952,4,475,2024-02-29
2355,Uttar Pradesh,District-28,2W,Bajaj,Model-17,158288,27,366,2023-11-07
2356,Uttar Pradesh,District-1,3W,Kinetic,Model-18,297787,58,547,2024-05-03
2357,Delhi,District-45,2W,Ather,Model-7,95739,42,180,2025-12-12
2358,Maharashtra,District-8,2W,TVS,Model-18,154180,40,228,2023-09-30
2359,Delhi,District-9,2W,Ola Electric,Model-11,104769,26,160,2024-02-27
2360,Maharashtra,District-38,Cargo,Euler,Model-15,309211,37,312,2024-11-27
2361,Maharashtra,District-32,3W,Piaggio,Model-7,235193,5,299,2024-09-14
2362,Rajasthan,District-24,2W,Ola Electric,Model-12,151153,15,179,2024-11-17
2363,Delhi,District-16,2W,Ola Electric,Model-15,114233,12,222,2024-06-04
2364,Maharashtra,District-4,4W,Tata,Model-3,1898194,28,514,2023-07-07
2365,Delhi,District-8,3W,Piaggio,Model-6,280306,28,326,2024-07-28
2366,Kerala,District-33,2W,Ather,Model-5,120443,8,447,2025-10-24
2367,Maharashtra,District-1,2W,TVS,Model-7,155944,18,427,2025-03-11
2368,Delhi,District-38,2W,Bajaj,Model-5,139315,19,91,2024-02-06
2369,Maharashtra,District-47,2W,Ola Electric,Model-8,171351,27,86,2023-08-02
2370,Kerala,District-4,3W,Piaggio,Model-3,283650,10,61,2025-01-12
2371,Karnataka,District-18,2W,Ola Electric,Model-4,137990,14,418,2023-09-19
2372,Maharashtra,District-11,3W,Piaggio,Model-3,337125,15,288,2023-03-03
2373,Delhi,District-36,2W,Ola Electric,Model-6,155262,11,180,2024-08-19
2374,Maharashtra,District-7,2W,Ather,Model-13,117017,37,291,2024-12-21
2375,Maharashtra,District-48,4W,Tata,Model-13,1588877,30,482,2025-11-03
2376,Tamil Nadu,District-49,2W,TVS,Model-10,157428,8,326,2025-03-13
2377,Delhi,District-1,2W,Ola Electric,Model-18,121762,36,139,2025-11-18
2378,Delhi,District-11,2W,TVS,Model-14,160859,47,298,2023-04-26
2379,Maharashtra,District-17,2W,TVS,Model-5,162629,56,271,2024-03-28
2380,Gujarat,District-47,2W,Bajaj,Model-20,109242,31,262,2024-03-13
2381,Karnataka,District-30,2W,Ola Electric,Model-10,107826,51,389,2023-05-13
2382,Gujarat,District-8,3W,Mahindra,Model-5,269626,45,148,2025-03-22
2383,Maharashtra,District-38,2W,Ola Electric,Model-16,163945,52,41,2025-01-01
2384,Karnataka,District-7,4W,Hyundai,Model-9,1402247,3,467,2023-03-14
2385,Gujarat,District-13,4W,MG,Model-5,1203345,19,119,2024-08-20
2386,Maharashtra,District-32,2W,Ola Electric,Model-8,122759,20,180,2024-03-26
2387,Tamil Nadu,District-21,4W,MG,Model-10,1645469,49,97,2025-07-29
2388,Maharashtra,District-33,2W,Bajaj,Model-14,110356,37,413,2023-05-25
2389,Maharashtra,District-9,4W,Tata,Model-13,1564182,8,80,2024-08-27
2390,Kerala,District-19,4W,Tata,Model-20,997877,36,450,2024-12-28
2391,Maharashtra,District-29,2W,TVS,Model-15,165309,22,77,2024-09-27
2392,Maharashtra,District-25,4W,Mahindra,Model-15,1658270,19,533,2024-04-18
2393,Tamil Nadu,District-47,4W,Tata,Model-20,1309000,35,192,2025-04-11
2394,Karnataka,District-39,3W,Kinetic,Model-17,249512,23,112,2023-06-20
2395,Tamil Nadu,District-44,2W,TVS,Model-8,116893,50,291,2023-03-04
2396,Gujarat,District-14,2W,TVS,Model-8,106506,21,232,2025-02-20
2397,Karnataka,District-18,Bus,Ashok Leyland,Model-7,3210239,7,129,2025-06-08
2398,Haryana,District-40,2W,TVS,Model-17,132788,30,177,2024-05-01
2399,Tamil Nadu,District-21,2W,TVS,Model-2,176117,18,165,2023-08-20
2400,Maharashtra,District-46,3W,Kinetic,Model-7,321479,23,167,2025-11-01
2401,Delhi,District-11,2W,Bajaj,Model-2,111911,15,472,2024-09-23
2402,Delhi,District-45,Bus,Tata Motors,Model-13,4512435,21,335,2024-04-18
2403,Karnataka,District-36,3W,Kinetic,Model-11,339146,46,543,2025-10-30
2404,Karnataka,District-20,3W,Mahindra,Model-14,244964,26,158,2023-09-18
2405,Kerala,District-4,2W,Ather,Model-1,105538,57,447,2023-01-16
2406,Delhi,District-19,2W,TVS,Model-14,95980,38,598,2024-07-07
2407,Tamil Nadu,District-35,4W,MG,Model-20,1044277,17,489,2023-11-28
2408,Tamil Nadu,District-34,Cargo,Euler,Model-18,319188,15,585,2023-08-24
2409,Tamil Nadu,District-29,2W,TVS,Model-1,132435,54,517,2025-12-20
2410,Uttar Pradesh,District-31,2W,Bajaj,Model-20,148938,14,419,2023-07-10
2411,Kerala,District-5,3W,Mahindra,Model-5,267477,58,383,2024-01-10
2412,Kerala,District-32,2W,Bajaj,Model-10,164056,12,117,2023-05-20
2413,Maharashtra,District-46,2W,Ather,Model-2,147868,23,423,2023-07-29
2414,Gujarat,District-3,4W,MG,Model-20,1089796,32,160,2023-08-08
2415,Delhi,District-23,2W,Ather,Model-8,150634,22,264,2024-02-29
2416,Maharashtra,District-6,3W,Piaggio,Model-5,236136,41,340,2024-06-07
2417,Maharashtra,District-34,Bus,Tata Motors,Model-3,4763724,23,561,2024-02-28
2418,Maharashtra,District-27,2W,Ola Electric,Model-7,117367,48,301,2024-05-02
2419,Maharashtra,District-21,2W,Bajaj,Model-3,115461,20,397,2024-12-26
2420,Maharashtra,District-39,4W,Hyundai,Model-19,1380169,2,443,2025-03-23
2421,Delhi,District-3,Cargo,Euler,Model-18,451555,29,214,2023-03-04
2422,Delhi,District-17,2W,Ather,Model-19,169723,55,307,2025-04-19
2423,Telangana,District-7,2W,Ather,Model-9,101421,21,142,2025-06-10
2424,Delhi,District-22,2W,Ather,Model-1,136593,49,373,2023-02-27
2425,Tamil Nadu,District-40,3W,Mahindra,Model-12,273142,59,102,2025-05-15
2426,Maharashtra,District-19,2W,Bajaj,Model-10,177401,47,302,2024-02-16
2427,Tamil Nadu,District-30,2W,Ather,Model-4,108526,52,494,2024-10-10
2428,Maharashtra,District-35,2W,Ola Electric,Model-13,166240,22,587,2025-11-01
2429,Maharashtra,District-18,4W,Tata,Model-20,1665800,41,456,2024-01-26
2430,Delhi,District-45,2W,Ola Electric,Model-4,138289,40,570,2023-05-12
2431,Delhi,District-29,2W,Bajaj,Model-2,122231,38,455,2023-11-02
2432,Tamil Nadu,District-7,2W,Ola Electric,Model-13,126265,14,536,2024-12-22
2433,Haryana,District-23,2W,Ola Electric,Model-1,127222,26,346,2023-06-01
2434,Maharashtra,District-47,3W,Kinetic,Model-18,286424,60,528,2023-06-29
2435,Karnataka,District-17,2W,Ola Electric,Model-16,115206,53,161,2024-01-22
2436,Tamil Nadu,District-10,Bus,Ashok Leyland,Model-11,6849060,18,321,2024-11-20
2437,Tamil Nadu,District-37,Bus,Ashok Leyland,Model-19,6936299,10,220,2025-02-15
2438,Maharashtra,District-39,2W,Bajaj,Model-15,162245,14,49,2023-03-19
2439,Kerala,District-50,3W,Mahindra,Model-3,257442,21,368,2023-07-05
2440,Maharashtra,District-46,4W,Hyundai,Model-16,1428740,33,361,2024-03-31
2441,Tamil Nadu,District-42,2W,Bajaj,Model-4,170819,46,45,2025-02-28
2442,Karnataka,District-11,2W,Bajaj,Model-3,139111,54,288,2025-11-06
2443,Karnataka,District-39,Cargo,Tata Ace EV,Model-15,276178,8,512,2024-05-08
2444,Maharashtra,District-22,2W,TVS,Model-3,178720,23,509,2023-11-05
2445,Delhi,District-46,2W,TVS,Model-13,98730,7,192,2024-12-20
2446,Karnataka,District-8,2W,Ather,Model-14,156823,41,195,2024-07-16
2447,Tamil Nadu,District-44,2W,Bajaj,Model-4,175262,32,480,2024-06-06
2448,Tamil Nadu,District-50,3W,Piaggio,Model-16,288050,31,313,2025-04-03
2449,Maharashtra,District-7,2W,Bajaj,Model-4,146696,30,235,2024-07-01
2450,Maharashtra,District-8,3W,Piaggio,Model-3,263048,47,138,2023-04-30
2451,Gujarat,District-1,3W,Kinetic,Model-12,222668,27,65,2024-08-19
2452,Karnataka,District-16,2W,Ola Electric,Model-20,120409,44,324,2023-04-01
2453,Kerala,District-45,Bus,Ashok Leyland,Model-3,6683335,57,53,2024-10-04
2454,Tamil Nadu,District-6,2W,Bajaj,Model-10,177550,60,516,2023-01-15
2455,Maharashtra,District-37,2W,Ola Electric,Model-17,107995,20,128,2023-10-02
2456,Karnataka,District-7,4W,Tata,Model-17,1852342,20,52,2025-08-21
